"","uid","ext_int","spec_glob","valence","block"
"1","subCA1_1",9,37,"neg","block0"
"2","subCA1_1",100,20,"pos","block0"
"3","subCA1_1",51,9,"neg","block1"
"4","subCA1_1",75,73,"pos","block1"
"5","subCA1_1",81,52,"neg","block2"
"6","subCA1_1",38,57,"pos","block2"
"7","subCA1_1",77,58,"neg","block3"
"8","subCA1_1",15,50,"pos","block3"
"9","subCA1_2",0,63,"neg","block0"
"10","subCA1_2",15,31,"pos","block0"
"11","subCA1_2",51,23,"neg","block1"
"12","subCA1_2",79,78,"pos","block1"
"13","subCA1_2",16,50,"neg","block2"
"14","subCA1_2",83,65,"pos","block2"
"15","subCA1_2",12,64,"neg","block3"
"16","subCA1_2",51,44,"pos","block3"
"17","subCA1_3",68,29,"neg","block0"
"18","subCA1_3",87,84,"pos","block0"
"19","subCA1_3",12,92,"neg","block1"
"20","subCA1_3",94,60,"pos","block1"
"21","subCA1_3",3,72,"neg","block2"
"22","subCA1_3",94,54,"pos","block2"
"23","subCA1_3",17,78,"neg","block3"
"24","subCA1_3",70,75,"pos","block3"
"25","subCA1_4",10,49,"neg","block0"
"26","subCA1_4",80,82,"pos","block0"
"27","subCA1_4",15,15,"neg","block1"
"28","subCA1_4",85,84,"pos","block1"
"29","subCA1_4",17,14,"neg","block2"
"30","subCA1_4",86,87,"pos","block2"
"31","subCA1_4",19,20,"neg","block3"
"32","subCA1_4",51,51,"pos","block3"
"33","subCA1_5",8,66,"neg","block0"
"34","subCA1_5",59,4,"pos","block0"
"35","subCA1_5",42,15,"neg","block1"
"36","subCA1_5",81,89,"pos","block1"
"37","subCA1_5",10,10,"neg","block2"
"38","subCA1_5",95,95,"pos","block2"
"39","subCA1_5",8,8,"neg","block3"
"40","subCA1_5",92,13,"pos","block3"
"41","subCA1_6",11,25,"neg","block0"
"42","subCA1_6",27,5,"pos","block0"
"43","subCA1_6",18,32,"neg","block1"
"44","subCA1_6",13,48,"pos","block1"
"45","subCA1_6",17,47,"neg","block2"
"46","subCA1_6",20,38,"pos","block2"
"47","subCA1_6",25,50,"neg","block3"
"48","subCA1_6",25,50,"pos","block3"
"49","subCA1_7",1,100,"neg","block0"
"50","subCA1_7",0,0,"pos","block0"
"51","subCA1_7",0,100,"neg","block1"
"52","subCA1_7",1,0,"pos","block1"
"53","subCA1_7",0,100,"neg","block2"
"54","subCA1_7",0,0,"pos","block2"
"55","subCA1_7",0,100,"neg","block3"
"56","subCA1_7",0,0,"pos","block3"
"57","subCA1_8",0,0,"neg","block0"
"58","subCA1_8",57,27,"pos","block0"
"59","subCA1_8",0,0,"neg","block1"
"60","subCA1_8",59,37,"pos","block1"
"61","subCA1_8",0,0,"neg","block2"
"62","subCA1_8",57,30,"pos","block2"
"63","subCA1_8",0,0,"neg","block3"
"64","subCA1_8",61,23,"pos","block3"
"65","subCA1_9",32,47,"neg","block0"
"66","subCA1_9",62,59,"pos","block0"
"67","subCA1_9",59,38,"neg","block1"
"68","subCA1_9",58,43,"pos","block1"
"69","subCA1_9",31,35,"neg","block2"
"70","subCA1_9",56,55,"pos","block2"
"71","subCA1_9",43,37,"neg","block3"
"72","subCA1_9",65,63,"pos","block3"
"73","subCA1_10",16,4,"neg","block0"
"74","subCA1_10",100,8,"pos","block0"
"75","subCA1_10",73,15,"neg","block1"
"76","subCA1_10",76,63,"pos","block1"
"77","subCA1_10",68,63,"neg","block2"
"78","subCA1_10",70,66,"pos","block2"
"79","subCA1_10",75,76,"neg","block3"
"80","subCA1_10",80,75,"pos","block3"
"81","subCA1_11",19,12,"neg","block0"
"82","subCA1_11",67,58,"pos","block0"
"83","subCA1_11",90,90,"neg","block1"
"84","subCA1_11",85,86,"pos","block1"
"85","subCA1_11",80,72,"neg","block2"
"86","subCA1_11",85,86,"pos","block2"
"87","subCA1_11",63,63,"neg","block3"
"88","subCA1_11",79,79,"pos","block3"
"89","subCA1_12",63,33,"neg","block0"
"90","subCA1_12",56,66,"pos","block0"
"91","subCA1_12",74,69,"neg","block1"
"92","subCA1_12",36,59,"pos","block1"
"93","subCA1_12",70,45,"neg","block2"
"94","subCA1_12",43,42,"pos","block2"
"95","subCA1_12",37,28,"neg","block3"
"96","subCA1_12",77,34,"pos","block3"
"97","subCA1_13",15,13,"neg","block0"
"98","subCA1_13",40,41,"pos","block0"
"99","subCA1_13",2,0,"neg","block1"
"100","subCA1_13",100,99,"pos","block1"
"101","subCA1_13",0,0,"neg","block2"
"102","subCA1_13",100,100,"pos","block2"
"103","subCA1_13",0,0,"neg","block3"
"104","subCA1_13",100,100,"pos","block3"
"105","subCA1_14",24,0,"neg","block0"
"106","subCA1_14",100,57,"pos","block0"
"107","subCA1_14",50,11,"neg","block1"
"108","subCA1_14",100,76,"pos","block1"
"109","subCA1_14",50,3,"neg","block2"
"110","subCA1_14",100,70,"pos","block2"
"111","subCA1_14",55,4,"neg","block3"
"112","subCA1_14",100,72,"pos","block3"
"113","subCA1_15",74,5,"neg","block0"
"114","subCA1_15",91,12,"pos","block0"
"115","subCA1_15",85,75,"neg","block1"
"116","subCA1_15",20,22,"pos","block1"
"117","subCA1_15",73,63,"neg","block2"
"118","subCA1_15",59,62,"pos","block2"
"119","subCA1_15",75,24,"neg","block3"
"120","subCA1_15",61,78,"pos","block3"
"121","subCA1_16",23,70,"neg","block0"
"122","subCA1_16",21,67,"pos","block0"
"123","subCA1_16",66,69,"neg","block1"
"124","subCA1_16",70,34,"pos","block1"
"125","subCA1_16",71,69,"neg","block2"
"126","subCA1_16",74,31,"pos","block2"
"127","subCA1_16",80,88,"neg","block3"
"128","subCA1_16",83,75,"pos","block3"
"129","subCA1_17",5,27,"neg","block0"
"130","subCA1_17",100,74,"pos","block0"
"131","subCA1_17",55,51,"neg","block1"
"132","subCA1_17",59,46,"pos","block1"
"133","subCA1_17",40,52,"neg","block2"
"134","subCA1_17",59,54,"pos","block2"
"135","subCA1_17",37,40,"neg","block3"
"136","subCA1_17",82,62,"pos","block3"
"137","subCA1_18",75,62,"neg","block0"
"138","subCA1_18",100,31,"pos","block0"
"139","subCA1_18",39,72,"neg","block1"
"140","subCA1_18",71,56,"pos","block1"
"141","subCA1_18",43,29,"neg","block2"
"142","subCA1_18",68,60,"pos","block2"
"143","subCA1_18",33,35,"neg","block3"
