"","uid","response","internal_node_id","nTimeouts","stimulus","chosen_attr_type","trial_index","valence","timedout","chosen_attr","trial_type","itemNo","rt","time_elapsed","taskNo","trialNo","interventionCondition","learningCondition","totalTimeJsPsych","intStartTime","intEndTime","nTrials","ID","group","internalChosen","globalChosen","internalGlobalChosen","internalSpecificChosen","externalGlobalChosen","externalSpecificChosen"
"1","subCALEARN_1",3,"0.0-2.0-0.0-0.0",0,"You find out that someone you consider a friend has talked about you negatively behind your back","external_global",3,"negative",FALSE,"Everyone has bad things said about them sometimes","html-button-response-ca",0,13762,159652,0,0,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,0,1,0,0,1,0
"2","subCALEARN_1",2,"0.0-2.0-0.1-0.1",0,"Someone from work invites you out for a cup of coffee","external_specific",4,"positive",FALSE,"This person is probably trying to make a good impression for some reason","html-button-response-ca",1,9769,170924,0,1,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,0,0,0,0,0,1
"3","subCALEARN_1",1,"0.0-2.0-0.10-0.10",0,"You didn't get the amount of work done you needed to","internal_specific",13,"negative",FALSE,"I probably dedicated too much time to unimportant tasks this week","html-button-response-ca",18,9255,305896,0,10,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,1,0,0,1,0,0
"4","subCALEARN_1",0,"0.0-2.0-0.11-0.11",0,"You walk past a cafe close to work and see your some of your colleagues are meeting for lunch without you","internal_global",14,"negative",FALSE,"People generally don't like me","html-button-response-ca",22,21520,328921,0,11,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,1,1,1,0,0,0
"5","subCALEARN_1",2,"0.0-2.0-0.12-0.12",0,"A friend tells you you make them laugh","external_specific",15,"positive",FALSE,"This particular friend happens to have a similar sense of humour to me","html-button-response-ca",24,7871,338294,0,12,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,0,0,0,0,0,1
"6","subCALEARN_1",0,"0.0-2.0-0.13-0.13",0,"A friend tells you speaking with you always makes them feel better","external_specific",16,"positive",FALSE,"My friend was probably trying to boost me up for some reason","html-button-response-ca",32,17461,357261,0,13,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,0,0,0,0,0,1
"7","subCALEARN_1",2,"0.0-2.0-0.14-0.14",0,"You find out that you have been put forward for a leadership position at work","internal_global",17,"positive",FALSE,"My colleagues respect my skill at work","html-button-response-ca",39,8817,367594,0,14,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,1,1,1,0,0,0
"8","subCALEARN_1",2,"0.0-2.0-0.15-0.15",0,"You submitted an application to join a local community forum but haven't heard anything back","external_specific",18,"negative",FALSE,"This time, my application was probably delayed for some reason","html-button-response-ca",41,12124,381231,0,15,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,0,0,0,0,0,1
"9","subCALEARN_1",3,"0.0-2.0-0.16-0.16",0,"Someone you are close to has sent you a card thanking you for being there for them during a difficult time","internal_global",20,"positive",FALSE,"I'm a good friend and people appreciate that","html-button-response-ca",43,14181,399147,0,16,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,1,1,1,0,0,0
"10","subCALEARN_1",0,"0.0-2.0-0.17-0.17",0,"You find out someone has contacted your employer to praise work you did for them","internal_global",21,"positive",FALSE,"I'm good at my job","html-button-response-ca",54,9498,410173,0,17,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,1,1,1,0,0,0
"11","subCALEARN_1",0,"0.0-2.0-0.18-0.18",0,"You successfully practice saying some phrases of a new language you are trying to learn","internal_specific",22,"positive",FALSE,"I've been making a particular effort recently to spend time learning new things","html-button-response-ca",62,26701,438389,0,18,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,1,0,0,1,0,0
"12","subCALEARN_1",0,"0.0-2.0-0.19-0.19",0,"Someone you are close to tells you they trust you","internal_global",23,"positive",FALSE,"I'm a trustworthy person","html-button-response-ca",68,4603,444515,0,19,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,1,1,1,0,0,0
"13","subCALEARN_1",0,"0.0-2.0-0.2-0.2",0,"You message your friend to ask for advice but they don't reply","external_specific",5,"negative",FALSE,"My friend is probably just too busy to respond right now","html-button-response-ca",2,9543,181970,0,2,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,0,0,0,0,0,1
"14","subCALEARN_1",0,"0.0-2.0-0.20-0.20",0,"You speak during a community meeting but feel like people aren't interested in what you have to say","internal_global",24,"negative",FALSE,"I am not interesting","html-button-response-ca",72,8824,454840,0,20,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,1,1,1,0,0,0
"15","subCALEARN_1",2,"0.0-2.0-0.21-0.21",0,"You washed your clothes on the wrong setting and the colours have run","internal_specific",25,"negative",FALSE,"On this occasion, I wasn't paying enough attention","html-button-response-ca",74,5253,461603,0,21,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,1,0,0,1,0,0
"16","subCALEARN_1",3,"0.0-2.0-0.22-0.22",0,"You see a very close friend and wave at them but they don't wave back","external_global",26,"negative",FALSE,"People often miss other people waving at them in the street","html-button-response-ca",79,6790,469895,0,22,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,0,1,0,0,1,0
"17","subCALEARN_1",1,"0.0-2.0-0.23-0.23",0,"A colleague comments on the high quality of your recent work","internal_global",27,"positive",FALSE,"I'm skilled at what I do","html-button-response-ca",93,5441,476847,0,23,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,1,1,1,0,0,0
"18","subCALEARN_1",2,"0.0-2.0-0.24-0.24",0,"You want to be nominated for a role in your local community group but no one suggests you","internal_specific",28,"negative",FALSE,"Recently, I haven't been involved much in community events","html-button-response-ca",99,7354,485720,0,24,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,1,0,0,1,0,0
"19","subCALEARN_1",2,"0.0-2.0-0.25-0.25",0,"Someone from work tells you they would like to be on your team for a work social event","internal_global",29,"positive",FALSE,"I'm the sort of person people like to have on their team","html-button-response-ca",101,9426,496649,0,25,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,1,1,1,0,0,0
"20","subCALEARN_1",2,"0.0-2.0-0.26-0.26",0,"Someone you care about takes time out of their busy day to check in on you ","external_specific",30,"positive",FALSE,"Someone else probably prompted this person to get in touch","html-button-response-ca",104,48296,546470,0,26,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,0,0,0,0,0,1
"21","subCALEARN_1",0,"0.0-2.0-0.27-0.27",0,"You forget you have put dinner in the oven and it burns","internal_specific",31,"negative",FALSE,"On this occasion, I let myself be distracted by something unimportant","html-button-response-ca",105,7105,555091,0,27,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,1,0,0,1,0,0
"22","subCALEARN_1",1,"0.0-2.0-0.28-0.28",0,"You overhear a colleague telling someone else they don't like you","external_specific",32,"negative",FALSE,"This particular person seems to be rude about everyone","html-button-response-ca",112,8213,564822,0,28,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,0,0,0,0,0,1
"23","subCALEARN_1",1,"0.0-2.0-0.29-0.29",0,"A colleague tells you they particularly appreciate your feedback on their work, as it is valuable","internal_global",33,"positive",FALSE,"I'm the sort of person who's opinion people value","html-button-response-ca",113,12541,578877,0,29,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,1,1,1,0,0,0
"24","subCALEARN_1",3,"0.0-2.0-0.3-0.3",0,"You return from the shops without something important from your shopping list","external_specific",6,"negative",FALSE,"Someone or something probably distracted me that time","html-button-response-ca",3,15081,198565,0,3,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,0,0,0,0,0,1
"25","subCALEARN_1",3,"0.0-2.0-0.30-0.30",0,"You find out a colleague has nominated you for a performance award at work","internal_global",34,"positive",FALSE,"I'm good at my job","html-button-response-ca",116,4637,585032,0,30,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,1,1,1,0,0,0
"26","subCALEARN_1",0,"0.0-2.0-0.31-0.31",0,"You present your work during your evening class and get lots of praise from your classmates","external_specific",35,"positive",FALSE,"This particular class are kind","html-button-response-ca",127,11324,597865,0,31,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,0,0,0,0,0,1
"27","subCALEARN_1",0,"0.0-2.0-0.4-0.4",0,"You'd like to be more engaged in your local community","external_specific",7,"negative",FALSE,"Recently, there were a lot of other things going on","html-button-response-ca",5,28061,228130,0,4,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,0,0,0,0,0,1
"28","subCALEARN_1",2,"0.0-2.0-0.5-0.5",0,"Your suggestion for a community social event receives the lowest number of votes","internal_specific",8,"negative",FALSE,"I probably didn't come up with a good enough idea this time","html-button-response-ca",7,14258,243900,0,5,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,1,0,0,1,0,0
"29","subCALEARN_1",3,"0.0-2.0-0.6-0.6",0,"You receive anonymised feedback on your work performance by colleagues, and it's very complimentary","internal_specific",9,"positive",FALSE,"Recently, I did well on a particular piece of work","html-button-response-ca",8,9459,254875,0,6,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,1,0,0,1,0,0
"30","subCALEARN_1",0,"0.0-2.0-0.7-0.7",0,"Someone you feel very close to is having a birthday dinner but hasn't invited you","internal_global",10,"negative",FALSE,"People I feel close to don't actually like me","html-button-response-ca",13,14094,270474,0,7,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,1,1,1,0,0,0
"31","subCALEARN_1",3,"0.0-2.0-0.8-0.8",0,"You find out that your manager wants to put you forward for promotion at work","internal_global",11,"positive",FALSE,"I'm good at my job","html-button-response-ca",15,8909,280889,0,8,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,1,1,1,0,0,0
"32","subCALEARN_1",1,"0.0-2.0-0.9-0.9",0,"You smile at someone across the street you recognise, but they don't smile back","external_specific",12,"negative",FALSE,"They were probably preoccupied and didn't see me","html-button-response-ca",17,12739,295129,0,9,"control","causal",2229468,1750232.90000001,2041439.30000001,64,1,2,0,0,0,0,0,1
