"","uid","trial_index","response","trial_type","chosen_attr","rt","nTimeouts","blockNo","internal_node_id","time_elapsed","timedout","correct","trialNo","chosen_attr_type","itemNo","stimulus","valence","interventionCondition","learningCondition","totalTimeJsPsych","intStartTime","intEndTime","nTrials","ID","group","internalChosen","externalChosen","globalChosen","specificChosen","internalGlobalChosen","internalSpecificChosen","externalGlobalChosen","externalSpecificChosen"
"1","subCALEARN_1",43,1,"html-button-response-ca","This particular colleague doesn't seem to have a very high opinion of me",12985,0,1,"0.0-8.0-0.0-0.0",860187,FALSE,1,0,"internal_specific",4,"You ask a colleague to write you a reference but they say no","negative","control","causal",2229468,1750232.90000001,2041439.30000001,60,1,2,1,0,0,1,0,1,0,0
"2","subCALEARN_1",45,1,"html-button-response-ca","I've likely been messaging this person a lot recently",4973,0,1,"0.0-8.0-0.1-0.1",869167,FALSE,0,1,"internal_specific",6,"You message a friend something silly and they reply straight away","positive","control","causal",2229468,1750232.90000001,2041439.30000001,60,1,2,1,0,0,1,0,1,0,0
"3","subCALEARN_1",47,0,"html-button-response-ca","I'm quick at picking up new things",4185,0,1,"0.0-8.0-0.2-0.2",877369,FALSE,1,2,"internal_global",9,"You try a complicated new recipe and it turns out great","positive","control","causal",2229468,1750232.90000001,2041439.30000001,60,1,2,1,0,1,0,1,0,0,0
"4","subCALEARN_1",49,1,"html-button-response-ca","I'm the sort of person people like to keep in touch with",4896,0,1,"0.0-8.0-0.3-0.3",886280,FALSE,1,3,"internal_global",10,"Someone you were at school with reaches out to ask how you are doing","positive","control","causal",2229468,1750232.90000001,2041439.30000001,60,1,2,1,0,1,0,1,0,0,0
"5","subCALEARN_1",51,1,"html-button-response-ca","On this occasion, I let myself get distracted so didn't see it through",5391,0,1,"0.0-8.0-0.4-0.4",895703,FALSE,1,4,"internal_specific",12,"You start to fill out some paperwork for your bank but don't finish","negative","control","causal",2229468,1750232.90000001,2041439.30000001,60,1,2,1,0,0,1,0,1,0,0
"6","subCALEARN_1",53,1,"html-button-response-ca","I'm generally good at keeping things clean and tidy",6933,0,1,"0.0-8.0-0.5-0.5",906656,FALSE,0,5,"internal_specific",14,"You sort through a large basket of clothes that need to be washed","positive","control","causal",2229468,1750232.90000001,2041439.30000001,60,1,2,1,0,0,1,0,1,0,0
"7","subCALEARN_1",55,0,"html-button-response-ca","I probably haven't offered to help this person before",5075,0,1,"0.0-8.0-0.6-0.6",915741,FALSE,1,6,"internal_specific",16,"A colleague asks everyone at work except you to help them review a job application form","negative","control","causal",2229468,1750232.90000001,2041439.30000001,60,1,2,1,0,0,1,0,1,0,0
"8","subCALEARN_1",57,1,"html-button-response-ca","I usually don't find it hard to get people's attention",5883,0,1,"0.0-8.0-0.7-0.7",925634,FALSE,1,7,"internal_global",19,"You ask for help finding something in a shop, and manage to get what you need straight away","positive","control","causal",2229468,1750232.90000001,2041439.30000001,60,1,2,1,0,1,0,1,0,0,0
"9","subCALEARN_1",59,0,"html-button-response-ca","I likely didn't communicate to them that I might like to hear the same said back to me",5900,0,1,"0.0-8.0-0.8-0.8",935551,FALSE,1,8,"internal_specific",20,"You tell someone you are close to you that you admire them, but they don't tell you the same back","negative","control","causal",2229468,1750232.90000001,2041439.30000001,60,1,2,1,0,0,1,0,1,0,0
"10","subCALEARN_1",61,1,"html-button-response-ca","I probably didn't try very hard this time",3232,0,1,"0.0-8.0-0.9-0.9",942788,FALSE,1,9,"internal_specific",23,"You and your friends do a general knowledge quiz and you get the lowest score","negative","control","causal",2229468,1750232.90000001,2041439.30000001,60,1,2,1,0,0,1,0,1,0,0
