"","uid","descrip_block1_neg","descrip_block1_pos","descrip_block2_neg","descrip_block2_pos","descrip_block3_neg","descrip_block3_pos","scenario1_neg_classifier1_myself_score","scenario1_neg_classifier1_other.people_score","scenario1_neg_classifier1_specific.situations_score","scenario1_neg_classifier1_in.general_score","scenario1_pos_classifier1_in.general_score","scenario1_pos_classifier1_myself_score","scenario1_pos_classifier1_other.people_score","scenario1_pos_classifier1_specific.situations_score","scenario2_neg_classifier1_specific.situations_score","scenario2_neg_classifier1_other.people_score","scenario2_neg_classifier1_in.general_score","scenario2_neg_classifier1_myself_score","scenario2_pos_classifier1_myself_score","scenario2_pos_classifier1_specific.situations_score","scenario2_pos_classifier1_in.general_score","scenario2_pos_classifier1_other.people_score","scenario3_neg_classifier1_specific.situations_score","scenario3_neg_classifier1_other.people_score","scenario3_neg_classifier1_myself_score","scenario3_neg_classifier1_in.general_score","scenario3_pos_classifier1_in.general_score","scenario3_pos_classifier1_myself_score","scenario3_pos_classifier1_other.people_score","scenario3_pos_classifier1_specific.situations_score"
"1","subCALEARN_1","One off lack of effort relating to the event.","Generally good traits or characteristics that I have.","They were due to events that weren't my fault/couldn't be avoided.","Due to positive traits of mine.","Specific events that weren't my fault/were beyond my control.","Due to positive general character traits of mine.",0.180413439869881,0.092064306139946,0.0612017177045345,0.00473648495972157,0.990716814994812,0.903807044029236,0.00225884653627872,0.00127547571901232,0.984470367431641,0.915368139743805,0.229010015726089,0.0680554956197739,0.885722696781158,0.0731044188141823,0.0275363232940435,0.00236102193593979,0.99773770570755,0.565907657146454,0.0217686202377081,0.00183330418076366,0.941171944141388,0.860055267810822,0.00293826358392835,0.000764417753089219
"2","subCALEARN_2","an unusual occurrence on my part","I am good at doing things or communicating","an unusual occurrence","good at doing things ","somebody or something caused it","I am a good person ",0.891490936279297,0.00930670648813248,0.948998510837555,0.00180650479160249,0.262561798095703,0.949005484580994,0.0229350551962852,0.385344296693802,0.988914370536804,0.170639291405678,0.00119107088539749,0.0395610444247723,0.361306577920914,0.282951593399048,0.463431566953659,0.191946044564247,0.739300191402435,0.938225090503693,0.0125117199495435,0.459913939237595,0.43380481004715,0.971726775169373,0.0191838871687651,0.170638725161552
"3","subCALEARN_3","I'm feeling positive ","I'm feeling positive","I'm feeling positive","I'm feeling positive","When bad things happen its not my fault","I'm feeling positive ",0.837283849716187,0.16258592903614,0.351098746061325,0.576134324073792,0.614499628543854,0.835599839687347,0.145703181624413,0.390365302562714,0.390365302562714,0.145703181624413,0.614499628543854,0.835599839687347,0.835599839687347,0.390365302562714,0.614499628543854,0.145703181624413,0.649081766605377,0.968699932098389,0.0529087260365486,0.676001608371735,0.576134324073792,0.837283849716187,0.16258592903614,0.351098746061325
"4","subCALEARN_4","That it was a lapse in their judgement for that specific event and not a character flaw ","That is a part of their character to do well and be a good person, not a result of a specific event","Seemed to be the fault of something else, and not a character flaw","Because they are good at something and it's a part of their character","Another party at fault, not a character flaw","Down to myself being good, a part of my character",0.0544755086302757,0.367254048585892,0.982832193374634,0.000811562698800117,0.56320858001709,0.0511276237666607,0.377283453941345,0.0220158156007528,0.656148016452789,0.941324174404144,0.33314922451973,0.00582006294280291,0.133174315094948,0.161929115653038,0.0986031740903854,0.28902742266655,0.523804187774658,0.998093962669373,0.00136062223464251,0.160976886749268,0.478075742721558,0.981156885623932,0.000475014559924603,0.0978085994720459
"5","subCALEARN_5","They treat the negative event as a one-off rather than being indicative of general character/ability.","They are down to intrinsic characteristics rather than something done specifically for that scenario","negative events have a specific reason linked to the scenario described","They are due to intrinsic characteristics","These are a result of other circumstances at the time","These are the result of intrinsic characteristics",0.0643439292907715,0.130382686853409,0.911197125911713,0.00576117215678096,0.26535564661026,0.0329399816691875,0.0466037094593048,0.14460501074791,0.993252754211426,0.103920981287956,0.00859560165554285,0.0181505847722292,0.0275900401175022,0.776378929615021,0.00478138821199536,0.0124336183071136,0.989345729351044,0.487052023410797,0.00151117064524442,0.0408543348312378,0.0403230153024197,0.0135043412446976,0.00756093626841903,0.586531400680542
"6","subCALEARN_6","animals","edibles","man made","from nature","large man made structures","small natural objects",0.000154618814121932,0.00028302485588938,0.252195060253143,0.123333349823952,0.0226574745029211,0.0159750506281853,0.00138837716076523,0.0938407853245735,0.498280167579651,0.0244021341204643,0.574151635169983,0.929324805736542,0.000163437594892457,0.0302361790090799,0.0152705786749721,7.08402221789584e-05,0.149512678384781,0.0861447304487228,0.00820337887853384,0.390767335891724,0.0505354292690754,0.00189239252358675,0.000107476524135564,0.0820247083902359
"7","subCALEARN_7","they seemed to be more general statements rather than aimed at you personally","positive, trying to be uplifting, didnt want too make you feel bad","the negatives focused on someone else not myself","they were singled out to just me being the reason it was positive","blaming others rather than accepting responsibility","very self complimentary",0.00487898197025061,0.800677061080933,0.00161300785839558,0.988334774971008,0.773084163665771,0.210084721446037,0.329200834035873,0.233387783169746,0.886309087276459,0.99694961309433,0.00182898936327547,0.000874468358233571,0.992813169956207,0.973094403743744,0.000316088058752939,0.00255520408973098,0.28961643576622,0.980961978435516,0.0346108824014664,0.715817332267761,0.640064775943756,0.76864105463028,0.0828803852200508,0.194201409816742
"8","subCALEARN_8","All related to specific circumstances, not the individual. ","Related to the individual. ","Circumstances. ","Related to the individual ","Not related to the individual. ","Driven by the individual. ",0.00263670622371137,0.762881696224213,0.995267033576965,0.00566341681405902,0.00369978835806251,0.553896188735962,0.0657654255628586,0.974292933940887,0.982398629188538,0.240498647093773,0.381777286529541,0.0548152476549149,0.519671201705933,0.984451711177826,0.00183313002344221,0.0427522845566273,0.225469082593918,0.802169501781464,0.00311271962709725,0.915321290493011,0.00196947739459574,0.830043017864227,0.00140130950603634,0.257556080818176
"9","subCALEARN_9","it puts your mind in the right place to input your feelings 0n the task ","again gives you the right mind set to identify with the task in hand","It helps give you the right mindset for the study","it helps understand the task in hand","it helped me see the study in the right way to add my answers","it helped me identify the correct answers",0.24121680855751,0.0401445850729942,0.257615000009537,0.19384591281414,0.0507090166211128,0.168946623802185,0.0208672173321247,0.22506320476532,0.131246566772461,0.0275096576660872,0.0445141196250916,0.0771935731172562,0.126418620347977,0.5437912940979,0.0098418677225709,0.0244232751429081,0.279785811901093,0.0570271648466587,0.264081418514252,0.0678473114967346,0.466197460889816,0.16629421710968,0.0526164919137955,0.571087062358856
"10","subCALEARN_10","Attribute the reason to a short-term factor","Attribute the reason to a long term and personal factor","They were dismissed as not being their personal responsibility and also short term","Long lasting and personal","Not responsible for them or others responsible for them","personally responsible for them!",0.0191854778677225,0.020823560655117,0.739843904972076,0.00346554047428071,0.00321193994022906,0.294222682714462,0.000732917746063322,0.368527829647064,0.624491095542908,0.932262778282166,0.642559587955475,0.0146186333149672,0.662242233753204,0.985623419284821,0.00128723250236362,0.00103853282053024,0.887082934379578,0.96859073638916,0.0271260272711515,0.526131570339203,0.00481420429423451,0.931410670280457,0.0032299873419106,0.862087547779083
