"","uid","ext_int","spec_glob","valence","block"
"1","subCALEARN_1",20,29,"neg","block0"
"2","subCALEARN_1",89,61,"pos","block0"
"3","subCALEARN_1",15,16,"neg","block1"
"4","subCALEARN_1",92,92,"pos","block1"
"5","subCALEARN_1",24,35,"neg","block2"
"6","subCALEARN_1",90,88,"pos","block2"
"7","subCALEARN_1",13,14,"neg","block3"
"8","subCALEARN_1",91,91,"pos","block3"
"9","subCALEARN_2",54,33,"neg","block0"
"10","subCALEARN_2",54,40,"pos","block0"
"11","subCALEARN_2",44,81,"neg","block1"
"12","subCALEARN_2",66,63,"pos","block1"
"13","subCALEARN_2",26,25,"neg","block2"
"14","subCALEARN_2",85,41,"pos","block2"
"15","subCALEARN_2",13,21,"neg","block3"
"16","subCALEARN_2",77,76,"pos","block3"
"17","subCALEARN_3",44,47,"neg","block0"
"18","subCALEARN_3",34,44,"pos","block0"
"19","subCALEARN_3",41,38,"neg","block1"
"20","subCALEARN_3",37,39,"pos","block1"
"21","subCALEARN_3",32,38,"neg","block2"
"22","subCALEARN_3",74,68,"pos","block2"
"23","subCALEARN_3",26,32,"neg","block3"
"24","subCALEARN_3",78,64,"pos","block3"
"25","subCALEARN_4",6,7,"neg","block0"
"26","subCALEARN_4",88,85,"pos","block0"
"27","subCALEARN_4",54,4,"neg","block1"
"28","subCALEARN_4",77,82,"pos","block1"
"29","subCALEARN_4",26,3,"neg","block2"
"30","subCALEARN_4",93,100,"pos","block2"
"31","subCALEARN_4",15,9,"neg","block3"
"32","subCALEARN_4",90,91,"pos","block3"
"33","subCALEARN_5",44,23,"neg","block0"
"34","subCALEARN_5",50,50,"pos","block0"
"35","subCALEARN_5",83,9,"neg","block1"
"36","subCALEARN_5",84,85,"pos","block1"
"37","subCALEARN_5",14,14,"neg","block2"
"38","subCALEARN_5",80,81,"pos","block2"
"39","subCALEARN_5",12,13,"neg","block3"
"40","subCALEARN_5",89,88,"pos","block3"
"41","subCALEARN_6",0,100,"neg","block0"
"42","subCALEARN_6",100,0,"pos","block0"
"43","subCALEARN_6",97,3,"neg","block1"
"44","subCALEARN_6",100,100,"pos","block1"
"45","subCALEARN_6",0,100,"neg","block2"
"46","subCALEARN_6",100,100,"pos","block2"
"47","subCALEARN_6",0,0,"neg","block3"
"48","subCALEARN_6",100,100,"pos","block3"
"49","subCALEARN_7",66,60,"neg","block0"
"50","subCALEARN_7",0,27,"pos","block0"
"51","subCALEARN_7",39,38,"neg","block1"
"52","subCALEARN_7",59,61,"pos","block1"
"53","subCALEARN_7",10,11,"neg","block2"
"54","subCALEARN_7",100,18,"pos","block2"
"55","subCALEARN_7",27,36,"neg","block3"
"56","subCALEARN_7",98,77,"pos","block3"
"57","subCALEARN_8",26,34,"neg","block0"
"58","subCALEARN_8",100,6,"pos","block0"
"59","subCALEARN_8",6,6,"neg","block1"
"60","subCALEARN_8",100,70,"pos","block1"
"61","subCALEARN_8",17,26,"neg","block2"
"62","subCALEARN_8",100,79,"pos","block2"
"63","subCALEARN_8",7,12,"neg","block3"
"64","subCALEARN_8",100,96,"pos","block3"
"65","subCALEARN_9",79,32,"neg","block0"
"66","subCALEARN_9",90,83,"pos","block0"
"67","subCALEARN_9",83,85,"neg","block1"
"68","subCALEARN_9",84,84,"pos","block1"
"69","subCALEARN_9",80,81,"neg","block2"
"70","subCALEARN_9",81,79,"pos","block2"
"71","subCALEARN_9",58,64,"neg","block3"
"72","subCALEARN_9",65,63,"pos","block3"
"73","subCALEARN_10",36,0,"neg","block0"
"74","subCALEARN_10",37,9,"pos","block0"
"75","subCALEARN_10",61,0,"neg","block1"
"76","subCALEARN_10",100,80,"pos","block1"
"77","subCALEARN_10",61,0,"neg","block2"
"78","subCALEARN_10",100,100,"pos","block2"
"79","subCALEARN_10",13,11,"neg","block3"
"80","subCALEARN_10",99,76,"pos","block3"
"81","subCALEARN_11",16,27,"neg","block0"
"82","subCALEARN_11",85,91,"pos","block0"
"83","subCALEARN_11",26,31,"neg","block1"
"84","subCALEARN_11",74,65,"pos","block1"
"85","subCALEARN_11",6,12,"neg","block2"
"86","subCALEARN_11",91,61,"pos","block2"
"87","subCALEARN_11",2,9,"neg","block3"
"88","subCALEARN_11",96,59,"pos","block3"
"89","subCALEARN_12",62,27,"neg","block0"
"90","subCALEARN_12",60,62,"pos","block0"
"91","subCALEARN_12",16,67,"neg","block1"
"92","subCALEARN_12",76,74,"pos","block1"
"93","subCALEARN_12",8,11,"neg","block2"
"94","subCALEARN_12",100,77,"pos","block2"
"95","subCALEARN_12",18,59,"neg","block3"
"96","subCALEARN_12",100,100,"pos","block3"
"97","subCALEARN_13",43,37,"neg","block0"
"98","subCALEARN_13",62,22,"pos","block0"
"99","subCALEARN_13",1,3,"neg","block1"
"100","subCALEARN_13",99,97,"pos","block1"
"101","subCALEARN_13",39,4,"neg","block2"
"102","subCALEARN_13",91,88,"pos","block2"
"103","subCALEARN_13",39,2,"neg","block3"
"104","subCALEARN_13",100,100,"pos","block3"
"105","subCALEARN_14",0,100,"neg","block0"
"106","subCALEARN_14",100,0,"pos","block0"
"107","subCALEARN_14",88,9,"neg","block1"
"108","subCALEARN_14",91,75,"pos","block1"
"109","subCALEARN_14",0,55,"neg","block2"
"110","subCALEARN_14",100,51,"pos","block2"
"111","subCALEARN_14",0,0,"neg","block3"
"112","subCALEARN_14",100,65,"pos","block3"
"113","subCALEARN_15",0,100,"neg","block0"
"114","subCALEARN_15",100,0,"pos","block0"
"115","subCALEARN_15",100,100,"neg","block1"
"116","subCALEARN_15",100,0,"pos","block1"
"117","subCALEARN_15",0,100,"neg","block2"
"118","subCALEARN_15",100,100,"pos","block2"
"119","subCALEARN_15",0,0,"neg","block3"
"120","subCALEARN_15",100,100,"pos","block3"
"121","subCALEARN_16",0,100,"neg","block0"
"122","subCALEARN_16",100,0,"pos","block0"
"123","subCALEARN_16",100,0,"neg","block1"
"124","subCALEARN_16",100,100,"pos","block1"
"125","subCALEARN_16",0,83,"neg","block2"
"126","subCALEARN_16",100,72,"pos","block2"
"127","subCALEARN_16",0,0,"neg","block3"
"128","subCALEARN_16",100,100,"pos","block3"
"129","subCALEARN_17",0,100,"neg","block0"
"130","subCALEARN_17",100,0,"pos","block0"
"131","subCALEARN_17",100,0,"neg","block1"
"132","subCALEARN_17",100,100,"pos","block1"
"133","subCALEARN_17",0,100,"neg","block2"
"134","subCALEARN_17",100,62,"pos","block2"
"135","subCALEARN_17",0,0,"neg","block3"
"136","subCALEARN_17",100,96,"pos","block3"
"137","subCALEARN_18",60,20,"neg","block0"
"138","subCALEARN_18",7,11,"pos","block0"
"139","subCALEARN_18",10,9,"neg","block1"
"140","subCALEARN_18",90,89,"pos","block1"
"141","subCALEARN_18",2,1,"neg","block2"
"142","subCALEARN_18",95,91,"pos","block2"
"143","subCALEARN_18",0,0,"neg","block3"
"144","subCALEARN_18",100,100,"pos","block3"
"145","subCALEARN_19",88,70,"neg","block0"
"146","subCALEARN_19",65,37,"pos","block0"
"147","subCALEARN_19",97,93,"neg","block1"
"148","subCALEARN_19",100,22,"pos","block1"
"149","subCALEARN_19",5,11,"neg","block2"
"150","subCALEARN_19",98,96,"pos","block2"
"151","subCALEARN_19",3,3,"neg","block3"
"152","subCALEARN_19",99,97,"pos","block3"
"153","subCALEARN_20",46,38,"neg","block0"
"154","subCALEARN_20",59,41,"pos","block0"
"155","subCALEARN_20",55,58,"neg","block1"
"156","subCALEARN_20",60,59,"pos","block1"
"157","subCALEARN_20",57,63,"neg","block2"
"158","subCALEARN_20",44,58,"pos","block2"
"159","subCALEARN_20",53,59,"neg","block3"
"160","subCALEARN_20",45,43,"pos","block3"
"161","subCALEARN_21",42,60,"neg","block0"
"162","subCALEARN_21",43,32,"pos","block0"
"163","subCALEARN_21",27,78,"neg","block1"
"164","subCALEARN_21",73,67,"pos","block1"
"165","subCALEARN_21",23,17,"neg","block2"
"166","subCALEARN_21",78,80,"pos","block2"
"167","subCALEARN_21",18,21,"neg","block3"
"168","subCALEARN_21",84,76,"pos","block3"
"169","subCALEARN_22",73,9,"neg","block0"
"170","subCALEARN_22",41,6,"pos","block0"
"171","subCALEARN_22",75,35,"neg","block1"
"172","subCALEARN_22",23,35,"pos","block1"
"173","subCALEARN_22",16,32,"neg","block2"
"174","subCALEARN_22",33,12,"pos","block2"
"175","subCALEARN_22",17,20,"neg","block3"
"176","subCALEARN_22",21,32,"pos","block3"
"177","subCALEARN_23",68,38,"neg","block0"
"178","subCALEARN_23",27,28,"pos","block0"
"179","subCALEARN_23",30,28,"neg","block1"
"180","subCALEARN_23",65,72,"pos","block1"
"181","subCALEARN_23",33,21,"neg","block2"
"182","subCALEARN_23",78,76,"pos","block2"
"183","subCALEARN_23",25,16,"neg","block3"
"184","subCALEARN_23",80,88,"pos","block3"
"185","subCALEARN_24",20,12,"neg","block0"
"186","subCALEARN_24",88,68,"pos","block0"
"187","subCALEARN_24",32,17,"neg","block1"
"188","subCALEARN_24",78,61,"pos","block1"
"189","subCALEARN_24",24,27,"neg","block2"
"190","subCALEARN_24",89,79,"pos","block2"
"191","subCALEARN_24",21,11,"neg","block3"
"192","subCALEARN_24",93,57,"pos","block3"
"193","subCALEARN_25",0,100,"neg","block0"
"194","subCALEARN_25",100,26,"pos","block0"
"195","subCALEARN_25",9,17,"neg","block1"
"196","subCALEARN_25",100,95,"pos","block1"
"197","subCALEARN_25",8,10,"neg","block2"
"198","subCALEARN_25",100,78,"pos","block2"
"199","subCALEARN_25",17,89,"neg","block3"
"200","subCALEARN_25",100,13,"pos","block3"
"201","subCALEARN_26",0,100,"neg","block0"
"202","subCALEARN_26",100,0,"pos","block0"
"203","subCALEARN_26",78,21,"neg","block1"
"204","subCALEARN_26",77,54,"pos","block1"
"205","subCALEARN_26",18,31,"neg","block2"
"206","subCALEARN_26",100,15,"pos","block2"
"207","subCALEARN_26",0,14,"neg","block3"
"208","subCALEARN_26",93,57,"pos","block3"
"209","subCALEARN_27",67,43,"neg","block0"
"210","subCALEARN_27",32,58,"pos","block0"
"211","subCALEARN_27",50,56,"neg","block1"
"212","subCALEARN_27",34,50,"pos","block1"
"213","subCALEARN_27",48,42,"neg","block2"
"214","subCALEARN_27",15,40,"pos","block2"
"215","subCALEARN_27",41,50,"neg","block3"
"216","subCALEARN_27",24,45,"pos","block3"
"217","subCALEARN_28",69,36,"neg","block0"
"218","subCALEARN_28",63,29,"pos","block0"
"219","subCALEARN_28",73,30,"neg","block1"
"220","subCALEARN_28",72,25,"pos","block1"
"221","subCALEARN_28",73,31,"neg","block2"
"222","subCALEARN_28",79,23,"pos","block2"
"223","subCALEARN_28",76,21,"neg","block3"
"224","subCALEARN_28",77,24,"pos","block3"
"225","subCALEARN_29",81,89,"neg","block0"
"226","subCALEARN_29",84,15,"pos","block0"
"227","subCALEARN_29",26,85,"neg","block1"
"228","subCALEARN_29",49,55,"pos","block1"
"229","subCALEARN_29",32,69,"neg","block2"
"230","subCALEARN_29",60,63,"pos","block2"
"231","subCALEARN_29",36,72,"neg","block3"
"232","subCALEARN_29",57,43,"pos","block3"
"233","subCALEARN_30",0,100,"neg","block0"
"234","subCALEARN_30",100,0,"pos","block0"
"235","subCALEARN_30",100,0,"neg","block1"
"236","subCALEARN_30",0,100,"pos","block1"
"237","subCALEARN_30",0,100,"neg","block2"
"238","subCALEARN_30",100,100,"pos","block2"
"239","subCALEARN_30",0,0,"neg","block3"
"240","subCALEARN_30",100,100,"pos","block3"
"241","subCALEARN_31",38,23,"neg","block0"
"242","subCALEARN_31",45,54,"pos","block0"
"243","subCALEARN_31",72,4,"neg","block1"
"244","subCALEARN_31",89,62,"pos","block1"
"245","subCALEARN_31",25,24,"neg","block2"
"246","subCALEARN_31",89,84,"pos","block2"
"247","subCALEARN_31",21,21,"neg","block3"
"248","subCALEARN_31",89,55,"pos","block3"
"249","subCALEARN_32",0,100,"neg","block0"
"250","subCALEARN_32",100,0,"pos","block0"
"251","subCALEARN_32",100,0,"neg","block1"
"252","subCALEARN_32",100,100,"pos","block1"
"253","subCALEARN_32",0,50,"neg","block2"
"254","subCALEARN_32",100,50,"pos","block2"
"255","subCALEARN_32",0,0,"neg","block3"
"256","subCALEARN_32",100,100,"pos","block3"
"257","subCALEARN_33",12,29,"neg","block0"
"258","subCALEARN_33",83,46,"pos","block0"
"259","subCALEARN_33",51,33,"neg","block1"
"260","subCALEARN_33",36,65,"pos","block1"
"261","subCALEARN_33",64,38,"neg","block2"
"262","subCALEARN_33",28,68,"pos","block2"
"263","subCALEARN_33",37,60,"neg","block3"
"264","subCALEARN_33",67,40,"pos","block3"
"265","subCALEARN_34",27,15,"neg","block0"
"266","subCALEARN_34",38,36,"pos","block0"
"267","subCALEARN_34",31,19,"neg","block1"
"268","subCALEARN_34",46,32,"pos","block1"
"269","subCALEARN_34",34,28,"neg","block2"
"270","subCALEARN_34",44,27,"pos","block2"
"271","subCALEARN_34",35,30,"neg","block3"
"272","subCALEARN_34",39,29,"pos","block3"
"273","subCALEARN_35",0,0,"neg","block0"
